1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20240325" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 9.9999999999999023E+000 4.0088430751210229E+000 2.3820325541335858E+000 3.5728239099397761E+000 5.4775388698329497E+000 -5.1564092055903252E+000 8.4777380661145223E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324170566731643E+001 8.5000496627254163E-001 3.2887685158456726E+001 4.0604208361934443E-005 1.1846291163011316E+007 9.5434171971639626E+002 9.7984397130247597E+006 -2.1698324561107121E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698324561107121E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096192727374195E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.8451043977683246E-009
2 2.2000000000000003E-005 9.9999999999997833E+000 4.0084836539801376E+000 2.3820296532069913E+000 3.5727355051178522E+000 5.4775376229611386E+000 -5.1564073513786974E+000 8.4777382881863854E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324162128564474E+001 8.5000496627254163E-001 3.2887665158736390E+001 4.0604211654637419E-005 1.1846172470337352E+007 9.5513823764909398E+002 9.8065522362835146E+006 -2.1698324021122378E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698324021122378E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096192187389452E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.8386524766456321E-009
3 3.6400000000000004E-005 9.9999999999996412E+000 4.0080266133396014E+000 2.3820259246703417E+000 3.5726231092260425E+000 5.4775365051648475E+000 -5.1564047739395598E+000 8.4777393395145637E+000 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324152493234775E+001 8.5000496627254141E-001 3.2887642799970067E+001 4.0604232477087060E-005 1.1846019917384351E+007 9.5615213910113152E+002 9.8168778386073094E+006 -2.1698318205286270E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698318205286270E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096186371553344E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.8304477343136436E-009
4 5.3680000000000001E-005 9.9999999999994724E+000 4.0074476293029937E+000 2.3820214622985310E+000 3.5724805944027955E+000 5.4775349852242750E+000 -5.1564024570704809E+000 8.4777396629214472E+000 6.9999999999999996E-001 2.9797635251138614E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324142079036141E+001 8.5000496627254141E-001 3.2887618146574397E+001 4.0604237437844694E-005 1.1845837342172742E+007 9.5743753057919025E+002 9.8299740353052448E+006 -2.1698317338401367E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698317338401367E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096185504668437E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.8200235509389241E-009
5 7.4416000000000000E-005 9.9999999999992699E+000 4.0067177988743783E+000 2.3820159619363035E+000 3.5723008869767563E+000 5.4775333420432961E+000 -5.1563999096300881E+000 8.4777400523354345E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324130723765347E+001 8.5000496627254141E-001 3.2887591287596820E+001 4.0604243517941990E-005 1.1845612302090311E+007 9.5906000031696021E+002 9.8465071619329695E+006 -2.1698316242863299E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698316242863299E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096184409130370E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.8068398452832333E-009
6 9.9299199999999986E-005 9.9999999999990266E+000 4.0058048161425592E+000 2.3820092305900729E+000 3.5720760069669169E+000 5.4775315947256757E+000 -5.1563971431836269E+000 8.4777405200411788E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324118518591657E+001 8.5000496627254141E-001 3.2887562447958864E+001 4.0604250952865699E-005 1.1845336903734719E+007 9.6109317287491717E+002 9.8672284631776083E+006 -2.1698314863396035E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698314863396035E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096183029663106E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.7902493286658353E-009
7 1.2915903999999998E-004 9.9999999999987335E+000 4.0046743178263409E+000 2.3820010740976265E+000 3.5717974606340857E+000 5.4775297707971804E+000 -5.1563941786828238E+000 8.4777410797450070E+000 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324105604581236E+001 8.5000496627254141E-001 3.2887531972476893E+001 4.0604260011863873E-005 1.1845003207208341E+007 9.6361632082651568E+002 9.8929469944964908E+006 -2.1698313135785430E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698313135785430E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096181302052500E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.7695382604441247E-009
8 1.6499084799999998E-004 9.9999999999983835E+000 4.0032896220815770E+000 2.3819911959248512E+000 3.5714562257842823E+000 5.4775279061106259E+000 -5.1563910460117359E+000 8.4777417468829661E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274640E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324092171347170E+001 8.5000496627254163E-001 3.2887500322821452E+001 4.0604271007252182E-005 1.1844599086282259E+007 9.6671558679640054E+002 9.9245398048353288E+006 -2.1698310983801974E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698310983801974E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096179150069041E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.7439575496182313E-009
9 2.0798901759999997E-004 9.9999999999979661E+000 4.0016158664449222E+000 2.3819795932857089E+000 3.5710435881946889E+000 5.4775260434307862E+000 -5.1563877831710441E+000 8.4777425376725883E+000 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.2324078450389116E+001 8.5000496627254163E-001 3.2887468061052878E+001 4.0604284277719894E-005 1.1844124434193606E+007 9.7047439009463733E+002 9.9628624312756434E+006 -2.1698308323979731E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1698308323979731E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3096176490246798E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -9.7127186656503675E-009
